Community,Members
1,350 mg of bst/14 d; 4% fcm production efficiency; adg; alfalfa cubes; almond hulls (alh); almond hulls (alh) diet; animal model; antibiotic dry therapy; antibiotic residue (ar); antibiotic usage; antimicrobial use; ar; ar occurrence; ar occurrences; ar violations; assistance at birth; average daily milk production; benchtop analyzer; biochemical variables; birth weight (bw); bisphenol a (bpa) supplementation; blood bst concentrations; blood sample collection; body weight (bw); bovine somatotropin (bst) injections; breeding strategies; brix; brix percentage; brix refractometer; bst administration; bst dosage; bst injection; bw change; calf birth weight; calving ease; casein content; cheese texture; cold-pressed canola; colostrum quality; colostrum quantity; colostrum quantity and quality; combined bpa and met (bpa+met) supplementation; continuously dry treated flocks; control (con) diet; cows in the pp; cp; crushed corn; cumulative milk production from conception to drying off (mgest); days in the close-up pen; days pregnant; days spent in the far-off group; diallele crossbreeding scheme; dietary neutral detergent fiber sources; dietary supplementation; digital dermatitis (dd); disease development; dmi depression; dmi prediction equations; dry cow therapy; dry matter intake (dmi); dry period; dry therapy; dry therapy group; dystocia; educational programs; elovl5; endocrine pancreas; energy partitioning; energy-corrected milk (ecm); ensiled citrus pulp (cit); ensiled citrus pulp (cit) diet; fat + protein yield; fatty acid elongation; fcm; fcm yield; fertility in adult ewes; flock groups; fractional absorption rate (ka) of volatile fatty acids (vfa); friesian cows; genetic group; genetic groups; geographic area; gestation length (gl); glyco-κ-cn%; greenhouse gas emissions; growth during rearing period; gt diet; health; health parameters; heifer calves; herd; herd prevalence; herd size; hh crosses; hh genetic group; high fndf; high fndf with 0% sffa; high producing lactating cows; high-fndf diet; high-fndf diets; hj crosses; hj genetic group; holstein-friesian cows; homeorhetic mechanisms; hormonal imbalances; hypocalcemia; incidence; incidence of disorder; infected cows; infection status at drying off; interdigital hyperplasia (ih); jerseys; jh crosses; jh genetic group; jj crosses; jj genetic group; lactating cow tmr composition; lactation; lactation curve; lactation number; lactation records; lactation stage; lactose-to-casein ratio; lamb fertility; linear scores; live weight; logscc; logtbc; low-fndf diet; maintenance requirements; mammary health; management and hygiene practice; management groups; management strategies; management-related factors; mastitis prevalence; mastitis treatment; maternal nutrition; metabolite-derived physiological states; midlactation; milk components; milk composition; milk hygiene and safety; milk of top-producing buffaloes; milk production and composition; milk production level; milk quality; milk safety; milk yield; milk yield in previous lactation; milkbot model; milking type; mineral mix; mixed linear regression; month; month of calving; monthly milk weights; nel; net energy intake; new imi; night cooling; nis (treated straw); nitrogen (n) partitioning; offspring muscle characteristics; other diets; other diseases; parity; parity of dam; parity score; peripartum serum concentrations; phenotypic effects; pig; pre-experimental body condition score; predicted transmitting ability for milk yield; previous 305-d milk yield; primiparous cows; procedures; production losses; progeny; proteolysis; recombinant bst; reproductive parameters; rumen function and health; rumen papillae morphology; ruminant mammary cells; scc; scc (somatic cell count); season; season of calving; seasonal depression in milk yield; selective antimicrobial treatment; selective media; semester; sex of the calf; sffa supplementation; sire merit; sire solutions; sole ulcer (su); somatic cell count (scc) limit; sometribove; sometribove injections; starch concentrations; starting date; stillbirth; stillbirths; supplemental concentrate; target practices; tbc; test days; top-producing buffaloes; total bacterial count (tbc); total casein content; total-tract digestibility; treatment assignment; triacylglycerol content; true protein percentage; twin status; twins; veterinary treatments; vitamin concentrations; wall disorder (wd); weanling pigs; year; year of calving; yield requirements; zn supplementation levels; α(s1)-casein (cn); α(s1)-cn%; α(s2)-casein (cn); α(s2)-cn%; β-cn; β-cn%; β-lactoglobulin%; γ-cn; γ-cn%; κ-cn; κ-cn%
2,"1,2-propanediol; 24-h ambient temperature range; 5'-flanking regulation sequence of goat beta-casein; abnormal clinical signs; abnormal respiration; acetol; adipose tissue biopsy; albumin expression; albumin gene; albumin mrna; albumin mrna expression; albumin secretion; albumin synthesis; albumin synthesis rate; alternative model; ambient temperature storage; antibacterial peptide; antibacterial peptide gene; anticoagulant; artificial insemination-reml algorithm; b. cereus; bacterial pathogens; bacteriostatic activity; best model; bhba concentrations; blood; blood coagulation; bovine growth hormone polyadenylation signal sequence; brd case status; brd suspect score; breed effects; browning; browning of parmesan cheese; bw gain; bwcalv; c. sakazakii; ca; cd; centrifugation; cephapirin (ceph); coagulation; cough; cu; cu content; dairy gyr breed selection; desacetylcephapirin (dac); diagnostic sensitivity; dmu package; early detection; economic depreciation; edta-added whole blood; elovl5 mrna abundance; enzyme activities; eukaryotic expression vector pires1-neo; ex vivo innate immune responses; exogenously added mg; expression vector; fertility in adult ewes (pr(a)); fertility in ewe lambs (pr(1)); fsp device; genetic nature of feed efficiency; genetic parameters; glx device; glycogen concentrations; health conditions; hepatic mrna concentrations; heritability; heterosis; hg; high-producing dairy cows; ice storage; in vitro-produced embryos; in vivo; innate nonspecific defense system; k; l. brevis 367; laboratory results; lactation stages; lactobacillus; lactobacillus brevis 367; lactobacillus fermentum 14931; limits of detection; linear animal model; linear type measures; lipolytic rates; lipopolysaccharide; lipopolysaccharide stimulation; liver; liver zn content; longevity in crossbred dairy cattle; low body condition; lymph nodes; mammary gland; mammary gland epithelial cells; mammary tissue-specific expression vectors; mastitic mammary glands; metabolite concentrations; methylglyoxal (mg); mg; mg tolerance; milk; milk albumin; milk fat removal; milk fat test; milk products; mn; mo; multiple-trait random regression model; multiple-trait sire linear model; na; neb-induced lipolysis; neutrophil oxidative burst ability; neutrophil oxidative burst intensity; neutrophil phagocytic ability; nonhepatic tissues; organismal metabolism; original model; ovary; p; parmesan cheese; pce; physiological conditions; plasma; plasma cu content; plasma zn content; pma-mpcr assay; prevention; rectal temperature; repeatability; reverse transcription-polymerase chain reaction; salmonella enteritidis; salmonella typhimurium; screening sensitivity; se; sensitivity; serum; specificity; standardized milk yield (smy(t)); storage time; subclinical ketosis; subclinical ketosis diagnosis; subclinical ketosis monitoring; sunken eyes; survival information; thiol-independent reduction; thoracic auscultation; tibia; tibia zn content; tnf-α secretion; traditional culture method; triacylglycerol accumulation; triacylglycerols; ultrasound examinations; v; viable c. sakazakii; volatile formation; washed-curd model cheese; whole blood; zn; zn content; α-dicarbonyls"
3,"acetate to propionate ratio; adf (acid detergent fiber) content; alfalfa and corn silage mix; alfalfa silage; alfalfa silage and hay; all diets; ammonia n pool size; amylase activity; apparent total tract digestibility; apparent total tract digestibility of organic matter; basal lactation ration; bermudagrass hay; c16:0 and c18:1; c18:2; c18:3; ca salts of fatty acids; ca solution; canola oil; carboxymethylcellulase activity; cell wall monosaccharides; chopped untreated wheat straw; cis-delta-9-c18:1; concentrate; concentration of beet pulp; corn silage; corn silage (cs); cornstarch; crude protein (cp); crude protein (cp) content; daily milk protein yield; daily minimum ph; dietary energy density; dietary forage neutral detergent fiber (fndf) content; dietary treatment; digestibility of fatty acids; dm composition; dried, pelleted beet pulp; dry cracked shelled corn (dc); dry period ration; duration of ruminal ph <5.8; effective rumen degradability of substrates; endocrine changes in dairy cows; energy booster 100; energy density of the diet; energy intake in dairy cows; er stress in the liver; er stress response; experimental diets; experimental silages; far-off dry cows; fat-corrected milk yield; fatty acid intake; fatty acid proportions in milk; fe; feeding recommendations; fgf 21; fgf21; fibrolytic activities of ruminal; flow of microbial n to the duodenum; forage; forage-to-concentrate ratio; forage:concentrate ratio; fractional rate of vfa absorption; fractional rate of vfa passage from the rumen; gene expression; gene expression for vfa activation and ketogenesis; grass hay; grass silage; ground high-moisture corn (hmc); gsgme supplementation; high energy diet (he); high energy diet with straw, soybean meal, and cornstarch (hes); high fiber diets; high protein tmr; hmc (high moisture corn); holstein calves; indigestible ndf; inflammation in the liver; irreversible loss of ammonia n; la; lactic acid (la) steeping; linseed oil; low energy diet (le); low protein tmr; mean ph; metabolic changes in dairy cows; microbial efficiency; milk fat concentrations; milk lactose concentrations; milk protein concentrations; milk replacer (mr); milk replacers (mr); milk urea n content; molar proportion of acetate; molar proportion of propionate; ndf (neutral detergent fiber) content; negative dietary cation-anion difference; net energy of lactation; neutral detergent fiber (ndf); neutral lipid concentrations; nonfiber carbohydrates (nfc); nutrient content; nutrient digestibility; p deficiency; p depletion diet; p requirement; passage rate of particulate matter; production responses; protozoal counts; rolled barley grain; rumen-protected fat (rpf); ruminal ammonia concentration; ruminal ammonia-15n transfer; ruminal concentrations of total fatty acids; ruminal concentrations of total saturated fatty acids; ruminal concentrations of unsaturated free fatty acids; ruminal degradability; ruminal fermentation; ruminal lipid concentrations; ruminal metabolism; ruminal ph; ruminal protozoal population; ruminal unsaturated fatty acids; ruminal vfa concentration; sffa supplement; sodium hydroxide (naoh) wheat straw pellets; sodium laurate; sorghum silage; soybean meal; soybean oil; starch; starch content; straw; stress conditions; tmr (total mixed ration); total mixed ration (tmr); total mixed rations; total saturated fatty acids; total tract; total tract digestibility of dm; total tract digestibility of n; total tract digestibility of neutral detergent fiber; total tract digestibility of organic matter; total unsaturated fatty acid concentrations; total volatile fatty acid concentrations; trt1; trt2; turnover of microbial protein; twice daily; unsaturation of dominant fatty acid in ca salts; unsaturation of the dominant fatty acid in the ca salts; vitamins; volatile fatty acid concentration; volatile fatty acids concentrations; wheat straw; xylanase activity"
4,"5-d cidr-synch protocol; 6-phosphogluconate dehydrogenase mrna abundance; ad libitum feeding; age of cows; air + mist treatment; air treatment; alfalfa; ambient temperature; antimicrobial therapy; antimicrobial treatments; atp-dependent 6-phosphofructokinase mrna abundance; baseline phase; bdct group; blood sample type; body temperature regulation; brown swiss; brown swiss cows; c-sdct group; carcass fat; carcass value; cell wall monosaccharides digestibility; cidr-synch protocol; cl pens; collar-mounted automated estrus detection devices; conformation; control treatment; cooled air; cooled air and mist treatment; cooled air treatment; cooling; cooling capacity; cooling program; cows; crossbred cows; crossbreds; crossover design; ctrl treatment; custom stall partitions; cycled mist; days open before last gestation; dietary treatments; dmi of dairy cows; dry-off; environmental challenge phase; environmental conditions; environmental treatments; experiment; experimental pen; fans; fat score; forage types; free-stall pen; freestyle precision (fsp); genetic heterogeneity; genetic superiority; glucomen lx plus (glx); heat stress; heat-shock protein 70; high energy diet (he) and high energy diet with straw, soybean meal, and cornstarch (hes); holstein; holstein heifers; holstein-friesian; holsteins; hot weather; individual long-chain fatty acids (lcfa) absorbed; inspired-air supplemental cooling system (scs); jersey; lactating holstein cows; lactating simmental cows; lactation length (ll); latin square design; latin square trial; length of dry period; linear score; liver to plasma ratios of met; lying behavior; mammary biopsies; mammary gland metabolism; mammary metabolism; milk production (ecm); mist; mist treatment; mrna abundance of protein related to mammary fatty acid and glucose metabolism; muscle concentrations of met; muscle to plasma ratios of phe, tyr, and branched-chain amino acids; nc cows; nc pens; nordic red cattle; peripheral blood; phosphorylated mtor; phosphorylation of protein kinase b; physical activity; plasma concentrations of leu; plasma concentrations of phe and tyr; plasma concentrations of thr; price per kilogram; production trial; proportion of digestible monosaccharides degraded in the rumen; protein level; protein treatments; quarter culture; rectal temperatures; reproductive efficiency; reproductive management strategies; respiration rate; respiration rates; risk for acquiring a new imi; rumination; rumination time; s-sdct group; sdct groups; shades; silage type; spray; supplemental zn sources; swiss breed; systemic metabolic responses; systemic metabolism; temperature-humidity index; thermoneutral conditions; time to reach carcass weight and fat score; total monosaccharide digestibility; treated straws; treatment administration; treatments; vaginal temperature; ventilation; zn hydroxychloride; zn sources; zn-met complex; β-hydroxybutyrate (bhba) measurement"
5,"(acetate + butyrate)/propionate; acetate-to-propionate ratio; ammonia concentrations; apparent total tract digestibility of dm; apparent total tract digestibility of om; apparent total tract digestibility of starch; application methods; area <5.8; atm trafficking; bacterial community composition; butyrate concentrations; c17 fatty acids; c18:0; c20:5; c22:6; ca salts; calcium caseinate; calcium chloride precipitate; calcium chloride-precipitation process; calcium soaps of fa supplement (calfa); calcium-depleted milk salt solution; calcium-depleted mpc80 powders; calfa supplement; carbon substrate metabolism; cheese moisture; cheese ripening; cheesemaker; chewing activity; cis-9, trans-11 c18:2 (conjugated linoleic acid); cis-delta-c18:1; coarse silage; cow factors; csn2; csoo; csto; d-lactate concentrations; dairy ration formulation; decreasing forage particle size; demineralized water; detergent fiber; dietary factors; dietary magnesium oxide; disease; dry cow diet; dry multiparous cows; encapsulated nonropy strain of strep. thermophilus; energy-corrected milk; finely chopped silage; fish oil fatty acids; forage particle size; forage source; fully stocked side; gelation of milk; hours <5.8; inflammatory phenotypes; intake; length of lag phase; low temperature; mdt differences; mean ruminal ph; metabolism; metabolite groups; micellar casein; microbial enzymatic activities; microorganism growth; milk fat percentage; minimum ph; mold growth; mozzarella cheese quality; na+; organic matter intake; p, k, n, s, mg; p-concentration; pgly supplement; ph; ph values; phenotype changes; physically effective fiber; physicochemical characteristics; pmr-fed cows; preformed fatty acids; prfa supplement; prilled fat supplement (prfa); production; production of secondary metabolites; propionate concentrations; propylene glycol (pgly) supplement; redundant haplotype segments; relative humidity; relative humidity (rh); rfc; rfc level; ripening process parameters; ruminal acetate concentrations; ruminal ammonia concentrations; ruminal butyrate concentrations; ruminal epithelium barrier function; ruminal fermentation measures; ruminal propionate concentration; ruminal short-chain fatty acid (scfa) absorption; salt (nacl) concentration; salt concentration; sample times; saturated fatty acids (c6 to c16); selective precipitation; sensory descriptor changes; sensory descriptors; sodium caseinate; solubility; solubility experiment; supplement amounts; temperature; total supplement dm/d; trace metals (fe, cu, zn, mn); trans-delta-11-c18:1; ultrafiltration permeate; unoccupied side; valerate concentration; valerate concentrations; variant discovery; wgs experiments; wsto; yellow color formation; α(s)-casein; α(s)-casein solubility; β-casein; β-casein isolation; β-casein isolation process; β-casein solubility; β-casein yield"
6,"almond hulls; biorefining of grass-clover; birth sex ratio; body condition score prebreeding; body condition score precalving; body conformation traits; body weight gain of calves; bta19; ca-pfa; ca-pfa supplementation; calcareous marine algae (cma); cell solubles digestibility; cellulose; citric acid (ca); citrus pulp; cla; concentrates; conception; condition gain from calving to breeding; conformation traits; corn rootworm protected corn hybrid; daily eating duration; dam condition; de concentration in supplements; delayed treatment initiation; dhia test scc; dietary de concentration; dietary fill effects; digested ndf; digestibility; dose of bst (500 mg); dose or diet; dry matter digestibility; dry matter intake; eating behavior; eating rate; energy balance; energy digestibility; energy status of the dam; energy-corrected milk yield; ensiled citrus pulp; enteric methane emissions; equations developed; fat globule size; fat globules; fat-supplemented groups; fatty acid digestibility; feed allowance; feed conversion ratio (fcr); feed intake; feed supplement; fermentation patterns; fibrous pulp; fitness traits; genetic modification; genome-wide association (gwa) analyses; glyphosate-tolerant corn hybrid; grass-clover silage; green juice; green protein; green protein concentrate; green protein supplemented diets; green protein supplemented tmr; haplotype; high-fat diets; high-starch diet; highly digestible diets; holstein dairy cows; hpo; in situ dry matter (dm) degradation kinetics; in vivo digestibility of crude protein; in vivo digestibility of neutral detergent fiber; indigenous, crossbred, and purebred cows; inflammatory markers; innate immunity responses; lactation extension; lactic acid (la) steeped barley grain; large fat globules; lfdg diet; limestone-based control; livability; mean proportional bias; mean square prediction error; milk fat concentration; milk fat to protein ratio; milk fat:protein ratio; milk production; milk production traits; milk protein; milk protein concentration; myh10 gene; n'dama cattle; negative energy balance; new equations; nh3-treated silages; nontransgenic control corn hybrid; nontransgenic hybrid; organic matter digestibility; postpartum period; prepartum period; production traits; prolonged-release formulation of bovine somatotropin (bst); prolonged-release formulation of bst; pulp silage; qtl on bta19; quantitative trait loci (qtl); res treatment; rumen fermentation patterns; ruminal fluids; serum mineral metabolites; sex of the offspring; short-term feed restriction; single-trait gwa; small fat globules; snp on bta19; somatic cell counts (scc); soybean meal diets; starch level; straw type; trans-c18:1 supplement; treatment diets; trivers-willard hypothesis; twin-screw press; unres treatment; us guernsey breed; us guernsey population; withdrawal time; zn supplementation"
7,"2001 national research council (nrc) dmi prediction model; 4% fcm production; 4% fcm yield; activity; akt abundance; apparent digestibility; arterial plasma glucose concentration; autolysed yeast (ay); ay inclusion level; blood profiles; breeding practices; buffer; c16:0; c18:1; caecal microbiota; calve growth; cbs; cbs mrna abundance; cdo1 mrna abundance; characterization strategies; con cows; corn grain; csad mrna abundance; cth mrna abundance; cul3 abundance; diet; diet composition; diet nutrient composition; diet sorting; dietary fatty acids profile; digestible energy; dm digestibility; dm intake; dressing yield; dry matter (dm); duration of low ruminal ph; efficiency of fcm production; electric heat blankets; element concentrations in milk and blood; empty lw; energy intake; enteric ch4 production; ether extract; eye muscle area; fat-corrected milk; fd diet; feces; feed use in postweaning pigs; feeding practices; genetics; glucagon concentration; glucagon concentrations; glucagon-to-insulin ratio; glucose-sparing effect; growth performance; gut microbiota; gut morphology; heat stress (hs); heat-shock protein 70 abundance; hepatic hsp70; high energy diet; high energy diets; high protein diet; holstein-friesian dairy cows; homeostasis in 1-carbon metabolism; homeostasis in insulin signaling; homeostasis in mtor signaling; indigestible neutral detergent fiber; innate immune function; insr; intake energy; intramuscular fat; lactose concentration; lactose synthesis; lactose yield; le diets; lipid status; magnesium oxide; methane enteric emission; methionine adenosyltransferase; micronutrient content; milk urea nitrogen concentration; monocyte oxidative burst; monocyte phagocytosis; net energy of lactation (nel); neutral detergent fiber intake; neutrophil oxidative burst; nonesterified fatty acid concentration; nutrition plane; pair-feeding; partial replacement of alfalfa and corn silage by straw, soybean meal, and cornstarch; particle size distributions; penn state particle separator; phosphorylated mtor abundance; plasma nonesterified fatty acids (nefa); propionate concentration; protein content in longissimus dorsi muscle; protein intake; rations; refusals; refusals and diet; residual feed intake (rfi); rpf; rpf feeding; rpm; rpm cows; rpm diet; ruminal fluid volatile fatty acid concentration; ruminally degradable protein; ruminally undegradable protein; sampling periods; selection strategies; serum insulin concentration; shear force value; small intestinal morphology; sod1 mrna abundance; study; subcutaneous fat; supplemental fish-oil; supplemental nacl; total fatty acids; total fermentable carbohydrate; triglyceride concentration; vitamins and minerals; week of lactation; whole body glucose rate of appearance; whole-blood antioxidant response"
8,3-hydroxy-3-methylglutaryl-coa reductase (hmgr); addition of na and k; age; alanine transaminase; amino acid metabolic pathways; amino acid metabolism; animal performance; antioxidant activity; apparent total tract digestibility of crude protein; apparent total tract digestibility of dry matter; apparent total tract digestibility of ether extract; apparent total tract digestibility of neutral detergent fiber; aspartate aminotransferase; aspartate transaminase; average daily gain (adg); bacteriophage cocktail; bacteriophage cocktail diets; basal diet; beta-hydroxybutyric acid; bifidobacteria; birth weight of the calf; body weight; brown milk; calcium salts of conjugated linoleic acid (cla); calf sex; calf viability; calving difficulty score; calving time; cardiovascular disease management; catalase; catalase expression; cholesterol 7 α-hydroxylase (cyp7a1); cla mix; clostridium spp.; clostridium spp. (ileum); cmrp; coliforms; coliforms (ileum); combination of bacteriophage cocktail and probiotics; concentration of estradiol-17beta; cortisol concentration; cow data; cpm-dairy; days in milk (dim); development; dietary cla; differentially abundant metabolites; endocrine system; estimates of individual long-chain fatty acids (lcfa) absorbed; estradiol-17beta; estradiol-17beta concentration; f-cmrp; fat vacuoles in hepatocytes; fecal score; fermented brown milk; fermented milk; fermented probiotic product; first lactation; first-lactation yield; free fatty acid; free proton concentration in blood; gain to feed ratio (g : f); genes and genomes pathway analysis; glucose metabolism; glutathione peroxidase; gouda-type cheese; gut health; gut health of weanling pigs; hepatocyte injury; high-cholesterol-diet; high-density lipoprotein cholesterol; high-fat diet; interleukin-1β; interleukin-6; interleukin-8; kcl; kyoto encyclopedia of genes and genomes pathway analysis; lactobacilli; lactobacillus fermentum h9; lactobacillus rhamnosus hsryfm 1301 fermented milk; lactobacillus spp.; lipid metabolism; long-chain fatty acids (lcfa); low-density lipoprotein; low-density lipoprotein cholesterol levels; low-density lipoprotein receptors; maillard reaction; maillard-reacted sodium caseinate (cmrp); metabolic pathways; mid-test metabolic bw (bw0.75); milk fat; milking herd; nacl; nonalcoholic fatty liver disease; norwegian dairy herd; oxygenation; performance of weanling pigs; phosphoenolpyruvate carboxykinase; plasma k; plasma mg; prepubertal growth rate; probiotic fermented milk; probiotics; progesterone concentration; proinflammatory cytokine response; reactive oxygen species; rearing period; reducing mg-mediated browning; residual feed intake; serum levels of total cholesterol; serum levels of total glyceride; serum total cholesterol levels; superoxide dismutase; superoxide dismutase expression; supplemental kcl; total cholesterol; total glyceride; total mixed ration (tmr) with ca salts; trans-c18:1 fatty acids; trans-c18:1 mix; trans-octadecenoic acids (trans-c18:1); transition to lactation; tumor necrosis factor-α; unique taste and flavor; yeast products
9,"16s rrna gene sequencing; acute phase proteins; aminoglycosides; amoxicillin-clavulanic acid; ampicillin; ams hygiene; antibacterial peptides; antibiotic activity; antibiotic resistance; antibiotic susceptibility testing; antibiotic treatment; antimicrobial susceptibility patterns; antimicrobial usage; antimicrobials; apm; apm (acute phase response, mild); apm treatment; apm+; apm+ (acute phase response, severe); automatic milking systems (ams); bacterial composition; bacterial load; bacteriological cure rates; bacterium inhibition; band neutrophils; biochemical assays; body temperature; bovine mastitis; bovine mastitis pathogens; bulk tank milk; cadyn; cef group; ceftiofur; ch; ch (clinical hypocalcemia); ch+ (severe clinical hypocalcemia); chemotactic response; china; chronic intramammary infections; cia treatment; ciprofloxacin; circulating blood polymorphonuclear leukocytes; circulating polymorphonuclear leukocytes; clinical cure; clinical hypocalcemia (ch); coagulase-negative staphylococci; coagulase-negative staphylococci infection; corynebacterium spp. infection; cow hygiene; cows with diseases; cure of metritis; cytological endometritis; diseases during the transition period; diseases in early lactation; edema; erythromycin; escherichia coli; estrous cyclic cows; farm level factors; fetid uterine discharge; fetid vulvar discharge; fm treatment; goat mammary glands; gram-negative organisms; health status (healthy vs. diseased); healthy cows; healthy multiparous cows; high production losses; hyperemia; in vivo experiments; kanamycin; ketosis; ketosis+; klebsiella spp.; lda; left displaced abomasum (lda); lymph nodules; lymphocytes; mastitic milk samples; mastitis; mastitis+; metritis; metritis cure; minocycline; moderately diseased cows; molecular identification; multiple factors; n. cyriacigeorgica; nac; neutrophils; new intramammary infection at calving; nocardia cyriacigeorgica; nonsevere clinical mastitis; parity (primiparous vs. multiparous); pathogenicity; penicillin; periparturient serum ca dynamics (cadyn); petrifilm aerobic count; pneumonia; polymorphonuclear leukocytes; puerperal metritis; purulent vaginal discharge; purulent vaginal discharge diagnosis; random amplified polymorphic dna pcr analysis; recovery of chemotactic response; serum ca concentration; serum ca concentrations; severely diseased cows; somatic cell count; spikes; stall hygiene; standard plate count; standard plate counts; streptococci; streptococcus dysgalactiae; streptococcus uberis; teat-seal treatment; tetracycline; type of metritis; uterine discharge score; vaginal discharge; vaginal discharge score; vancomycin"
10,1-compartment model; 100 dim; 2-compartment model; 305-d mature-equivalent milk production; 9-cis retinoic acid; agr- locus; agri gene; agrii gene; agriii gene; alpha-tocopherol; anorexia; bacterial challenge strain; bacteriologic new infections; bacterium inhibition zone assay; beta-carotene; butterfat test; capsular type 5 (cap5); capsular type 8 (cap8); ceftiofur hydrochloride (sm); ceph concentration; ceph concentration in composite milk; ceph pharmacokinetics; ceph preparation; clinical mastitis; clinical mastitis cases; cloxacillin benzathine (dc); concentrations of important elements; cow health; cow milk yield; cow performance; cows milked 3x; cure; cure rate; data analysis; dc; dct formulations; dependence between quarters; dhia test-day results; dhia test-day somatic cell count linear score; dietary manipulation; disease risk; dosing interval; dry cow therapy (dct) treatments; dry off; e. coli mastitis; e. coli o157:h7; experiment design; fda tolerance; fetid discharge; front quarters; general health; genetic selection; gram-positive organisms; herd removal; hygiene of cows; imi at dry off; immune competency; incidence of episodes; inductively coupled plasma-mass spectrometry; inductively coupled plasma-optical emission spectrometry; inhibitory concentrations; inhibitory concentrations in milk; latin squares; logistic regression; mammary type characteristics; mathematical expectations; mic(50) values; mic(90) values; micronutrient concentrations; mild clinical mastitis; milk ceph concentration; milk healthfulness; milk nutritive value; milk samples; milking frequency; milking machine hygiene; milking process; moderate clinical mastitis; nutrient concentration; on-farm electronic records; papillae collection; pharmacokinetics of ceph and dac; pharmacokinetics of cephapirin; postpartum; protein test; quarters of the udder; quarters within a cow; rear quarters; reduced milk production; retained placenta; retinoic acid; retinol; risk for removal from the herd; sensory analysis; serum samples; severe inflammation; similarity; sm; staphylococcus aureus isolates; subclinical mastitis; toxic and trace element concentrations; treatment groups; treatment interval; tricine-sds-page; udder health; udder inflammation; vitamin b12 concentrations; withholding time
