|node_1|node_2|edge|chunk_id|count
3852|indirect methods|colostrum quality assessment|Indirect methods are available for assessment of colostrum quality.|1b1ebe9e5ac54ef4824b814033d99c45|1
6175|supercritical co(2) pressure|microstructure of cheese|The pressure of supercritical CO(2) influences the microstructure of cheese.|eebedf9334214b4b840fca8e79d7ffc4|1
3128|lactococcus strains|cheese production|Lactococcus strains are evaluated for use as starter cultures in cheese production.|c959ca90e8324d829abffb3018d55894|1
6505|cryptosporidium muris|calves|Growing calves may be adversely affected by Cryptosporidium muris.|bc63135da4bc48aea7d74e68b94ea71f|1
1277|corn silage|total mixed ration (tmr)|Corn silage is a component of the total mixed ration (TMR) fed to cows during the prepartum period.|9fd897cfee8d4e8dbf5663f99a00c4ab|1
2841|month|tbc|The month was a significant factor influencing variation in Total Bacterial Count (TBC).|f6a3984cf0d54846937eb6be1942d25e|1
3650|american dairy science association|calf transportation research|The American Dairy Science Association is involved in the publication of research on calf transportation.|321d1b7b94d44601a494bcae38cc4255|1
1683|e. coli inoculation|experimental mastitis|Inoculation of E. coli induces experimental mastitis in healthy cows.|0506a7b1be1e499082b09be9c5258708|1
774|gel filtration chromatography|high density lipoproteins|Gel filtration chromatography is used to fractionate high density lipoproteins by size.|79c1e001f9854c67be9e140bb9f91029|1
6177|majorero cheese|fat reduction|The amount of fat was reduced by 50 to 57% in Majorero cheese using supercritical CO(2).|eebedf9334214b4b840fca8e79d7ffc4|1
2768|ceftiofur hydrochloride|preexisting infections|Ceftiofur hydrochloride is used to cure preexisting infections.|85bbd7625c534566b08c312f7646703a|1
3250|pedigree data|inbreeding management|Reducing the minimum coancestry (MC) is only partially feasible based on pedigree data, implying that pedigree data has a limited role in managing inbreeding.|9684cff4802e44e8b2042364187cfc3b|1
1717|ay inclusion|marvinbryantia|AY inclusion increased the abundance of Marvinbryantia at the genus level.|f5cc2443cce04d2193540b6ddd702e40|1
3847|el supplementation|corn silage-based diets|EL supplementation should be used cautiously in corn silage-based diets.|3b59ae50f9004a9b97a8b9795fca1e3f|1
4578|insulin traits|gender|The insulin traits were significantly associated with gender in newborn calves.|f8507f716c314071bb36a06febe467c3|1
777|high density lipoproteins|apolipoprotein b|High density lipoproteins do not contain apolipoprotein B.|79c1e001f9854c67be9e140bb9f91029|1
1537|iws method|haplotype segments|The IWS method is used to sequence all haplotype segments ≥4% frequency in the US Holstein population.|0a2d130c243543798854b162bc102408|1
169|temperature|α(s)-casein solubility|The solubility of α(S)-casein is evaluated as a function of temperature.|28b976eff73a460083ff2f5f372cd068|1
2219|periparturient fat supplementation|plasma insulin|Periparturient fat supplementation had no detectable effects on plasma insulin concentrations.|8901495708024e738f155f51c20edeb9|1
3679|lipolytic rates|triacylglycerol accumulation|Higher lipolytic rates lead to a greater triacylglycerol accumulation in the liver after parturition.|a97e6b27cf314d0f8e96beb306ec6cb5|1
250|lactobacillus fermentum h9|cmrp|Lactobacillus fermentum H9 ferments cMRP to produce F-cMRP.|c5daf69b4f7149448c2d926e84463fd7|1
5757|preterm calves|cortisol|Preterm calves have lower plasma concentrations of cortisol at birth.|fc6494f4acc941ed955eebbb4cf83464|1
292|plasma glucose|liver triglyceride|Prepartum plasma glucose was strongly correlated with liver triglyceride at 1 d postpartum.|55f2aac93e2d426486ab691c9cedf947|1
4287|cheese whey protein|inducible nitric oxide synthase|Cheese whey protein diminished the expression of inducible nitric oxide synthase, indicating reduced inflammation.|97e1ad13edc54f7989f435a657aacf9d|1
4752|eif2a|translation initiation|EIF2A is involved in translation initiation.|c96f4f7ba0354e9891f5f3d1adab8839|1
5127|polled haplotype|fat yield|The polled haplotype has an effect on fat yield in US Brown Swiss, Holstein, and Jersey cattle.|718034aa296348d9af942369d5008443|1
5679|estradiol-17beta|progesterone concentration|Estradiol-17beta and progesterone concentration are analyzed in blood serum to investigate hormonal imbalances.|edcb5bffc01e42b7b41cbfcb67b11077|1
1420|genomic evaluation|marker effects|Genomic evaluation can explicitly include marker effects.|38341398a1154d28b419767cbca5d497|1
3550|ruminal ph|duration of ruminal ph <5.8|A lower mean ruminal pH was associated with a greater duration that ruminal pH was <5.8 in cows fed HC diet.|2bae0a9536f54896826676fedceb4520|1
1114|lpf1|lpf2|Mammary pathogenic E. coli possess 2 lpf loci encoding LPF1 and LPF2, respectively.|f8d0271585274dbfa3efa7482a8b0498|1
566|internal amplification control|multiplex pcr (mpcr)|An internal amplification control is used in multiplex PCR (mPCR) to ensure the accuracy of the results.|73e99da4f68a44029964c95f0e98a7a5|1
3289|dietary protein|dm digestion|DM digestion increases linearly in response to dietary protein.|c2ad357c234444e7b833df13f0ea2bc7|1
4051|fsp device|bhba concentrations|The FSP device was used to measure BHBA concentrations in whole-blood samples, showing a high correlation with serum analysis.|92a70dd68fba4174a0ce4b1516d22d23|1
6065|ice storage|neutrophil phagocytic ability|Storage of blood on ice decreases neutrophil phagocytic ability, a measure of innate immune cell function.|fa26cd1fe58841c2967bef0c5b82bad2|1
4923|lactic acid|hlc cheese|HLC cheese had higher levels of lactic acid compared to other cheese types.|fccd5123f4484340a43858a892aa05f9|1
3704|para-aminohippurate|portal plasma flow|Para-aminohippurate was infused into a mesenteric vein to measure portal plasma flow.|df8cb3da82964b6e8946e6c1c5c43178|1
1492|sheep breed|lamb bw (lbw)|Sheep breed (e.g. Merinoland, Rhönsheep) is related to lamb BW (LBW).|78dddb10e775485a8ba33857282f3330|1
257|cmrp|high-density lipoprotein cholesterol|cMRP had only a slight effect on high-density lipoprotein cholesterol levels.|8e5cf05bcb554308bf14682d5311cd86|1
293|nefa|liver triglyceride|Prepartum plasma NEFA was strongly correlated with liver triglyceride at 1 d postpartum.|55f2aac93e2d426486ab691c9cedf947|1
1184|straw type|milk protein concentration|The type of straw included in the diet affects milk protein concentration.|fe7bbac328834d9598d7c3cfde1221f7|1
2189|calcium salts of conjugated linoleic acid (cla)|lipid metabolism|Feeding calcium salts of conjugated linoleic acid (CLA) influences lipid metabolism during the transition to lactation.|0ef87e96a10244c99d7ca7bb85f66cf2|1
3387|machine learning methods|predictive models|Machine learning methods offer great advantages in constructing reliable predictive models because of their universal learning ability and flexibility in integrating various sorts of data.|db28524b68274e7bb5aa0e014f606c73|1
6162|expression of antibacterial peptides|prevention of mastitis|The expression of antibacterial peptides in goat mammary glands provides a possible method to prevent mastitis in ruminants.|91fa4f80011449039a93e4090620b637|1
4069|bhba concentrations|serum|BHBA concentrations differed between whole blood and serum.|722652b44158438ab62204791e624aad|1
